Datetime,Water Level (m)
2024-09-30 12:00:00,-0.5932115
2024-09-30 13:00:00,-0.2607218
2024-09-30 14:00:00,0.2281909
2024-09-30 15:00:00,0.75636345
2024-09-30 16:00:00,1.1786557
2024-09-30 17:00:00,1.3981117
2024-09-30 18:00:00,1.3193067
2024-09-30 19:00:00,0.9787829
2024-09-30 20:00:00,0.55978984
2024-09-30 21:00:00,0.15777618
2024-09-30 22:00:00,-0.18896073
2024-09-30 23:00:00,-0.48327234
2024-10-01 00:00:00,-0.6136859
2024-10-01 01:00:00,-0.2788326
2024-10-01 02:00:00,0.24546915
2024-10-01 03:00:00,0.8002243
2024-10-01 04:00:00,1.2576507
2024-10-01 05:00:00,1.5125724
2024-10-01 06:00:00,1.4628712
2024-10-01 07:00:00,1.128955
2024-10-01 08:00:00,0.699918
2024-10-01 09:00:00,0.28030506
2024-10-01 10:00:00,-0.09303055
2024-10-01 11:00:00,-0.42411223
2024-10-01 12:00:00,-0.64934486
2024-10-01 13:00:00,-0.4586597
2024-10-01 14:00:00,0.04944301
2024-10-01 15:00:00,0.65643907
2024-10-01 16:00:00,1.1692382
2024-10-01 17:00:00,1.5049707
2024-10-01 18:00:00,1.5549828
2024-10-01 19:00:00,1.2706451
2024-10-01 20:00:00,0.85099
2024-10-01 21:00:00,0.4153521
2024-10-01 22:00:00,0.021994272
2024-10-01 23:00:00,-0.3280573
2024-10-02 00:00:00,-0.582325
2024-10-02 01:00:00,-0.511722
2024-10-02 02:00:00,-0.028596302
2024-10-02 03:00:00,0.5856258
2024-10-02 04:00:00,1.1359749
2024-10-02 05:00:00,1.510746
2024-10-02 06:00:00,1.6015903
2024-10-02 07:00:00,1.3418616
2024-10-02 08:00:00,0.92362005
2024-10-02 09:00:00,0.4812984
2024-10-02 10:00:00,0.07518797
2024-10-02 11:00:00,-0.27970886
2024-10-02 12:00:00,-0.5626734
2024-10-02 13:00:00,-0.6133841
2024-10-02 14:00:00,-0.16283207
2024-10-02 15:00:00,0.45361724
2024-10-02 16:00:00,1.069919
2024-10-02 17:00:00,1.5282321
2024-10-02 18:00:00,1.7083772
2024-10-02 19:00:00,1.5117677
2024-10-02 20:00:00,1.1077343
2024-10-02 21:00:00,0.6473402
2024-10-02 22:00:00,0.22452618
2024-10-02 23:00:00,-0.14493355
2024-10-03 00:00:00,-0.46478626
2024-10-03 01:00:00,-0.63683987
2024-10-03 02:00:00,-0.28181264
2024-10-03 03:00:00,0.29337522
2024-10-03 04:00:00,0.8872483
2024-10-03 05:00:00,1.3954928
2024-10-03 06:00:00,1.6529264
2024-10-03 07:00:00,1.5569319
2024-10-03 08:00:00,1.1778643
2024-10-03 09:00:00,0.72563046
2024-10-03 10:00:00,0.29257914
2024-10-03 11:00:00,-0.087962665
2024-10-03 12:00:00,-0.4283447
2024-10-03 13:00:00,-0.6481935
2024-10-03 14:00:00,-0.35976613
2024-10-03 15:00:00,0.20437562
2024-10-03 16:00:00,0.8295729
2024-10-03 17:00:00,1.3801395
2024-10-03 18:00:00,1.719119
2024-10-03 19:00:00,1.7273525
2024-10-03 20:00:00,1.388016
2024-10-03 21:00:00,0.9299191
2024-10-03 22:00:00,0.49425194
2024-10-03 23:00:00,0.10393511
2024-10-04 00:00:00,-0.23836945
2024-10-04 01:00:00,-0.50419575
2024-10-04 02:00:00,-0.33809334
2024-10-04 03:00:00,0.17253372
2024-10-04 04:00:00,0.7766966
2024-10-04 05:00:00,1.3068656
2024-10-04 06:00:00,1.6591392
2024-10-04 07:00:00,1.7023307
2024-10-04 08:00:00,1.3943256
2024-10-04 09:00:00,0.9536793
2024-10-04 10:00:00,0.50133383
2024-10-04 11:00:00,0.09171792
2024-10-04 12:00:00,-0.26710856
2024-10-04 13:00:00,-0.5517528
2024-10-04 14:00:00,-0.5549302
2024-10-04 15:00:00,-0.06314272
2024-10-04 16:00:00,0.5735531
2024-10-04 17:00:00,1.1795751
2024-10-04 18:00:00,1.6264746
2024-10-04 19:00:00,1.799972
2024-10-04 20:00:00,1.5787026
2024-10-04 21:00:00,1.152644
2024-10-04 22:00:00,0.687708
2024-10-04 23:00:00,0.26034868
2024-10-05 00:00:00,-0.1132793
2024-10-05 01:00:00,-0.43982497
2024-10-05 02:00:00,-0.5916211
2024-10-05 03:00:00,-0.20007128
2024-10-05 04:00:00,0.36310017
2024-10-05 05:00:00,0.9181037
2024-10-05 06:00:00,1.3714657
2024-10-05 07:00:00,1.5869093
2024-10-05 08:00:00,1.4488301
2024-10-05 09:00:00,1.062543
2024-10-05 10:00:00,0.61611843
2024-10-05 11:00:00,0.19993158
2024-10-05 12:00:00,-0.1618977
2024-10-05 13:00:00,-0.47828698
2024-10-05 14:00:00,-0.66147304
2024-10-05 15:00:00,-0.3187267
2024-10-05 16:00:00,0.24511133
2024-10-05 17:00:00,0.85217965
2024-10-05 18:00:00,1.3907424
2024-10-05 19:00:00,1.7148436
2024-10-05 20:00:00,1.6829807
2024-10-05 21:00:00,1.3213624
2024-10-05 22:00:00,0.8676258
2024-10-05 23:00:00,0.42618877
2024-10-06 00:00:00,0.031650472
2024-10-06 01:00:00,-0.3169904
2024-10-06 02:00:00,-0.5662282
2024-10-06 03:00:00,-0.452939
2024-10-06 04:00:00,0.01429139
2024-10-06 05:00:00,0.5735088
2024-10-06 06:00:00,1.051744
2024-10-06 07:00:00,1.3745543
2024-10-06 08:00:00,1.4103851
2024-10-06 09:00:00,1.118529
2024-10-06 10:00:00,0.706407
2024-10-06 11:00:00,0.29425406
2024-10-06 12:00:00,-0.07402909
